VPC-343800,Siphoviridae,1
VPC-344386,Siphoviridae,1
VPC-344387,Siphoviridae,1
VPC-344727,Siphoviridae,1
VPC-34538,Siphoviridae,45
VPC-3454,Myoviridae,386
VPC-3454,NULL,217
VPC-3454,Siphoviridae,1
VPC-348374,NULL,1
VPC-350464,Siphoviridae,1
VPC-352309,Siphoviridae,1
VPC-354733,NULL,1
VPC-35584,NULL,24
VPC-35584,Siphoviridae,19
VPC-356056,Myoviridae,1
VPC-358,Myoviridae,6
VPC-358,NULL,703
VPC-358,Siphoviridae,2003
VPC-358990,Siphoviridae,1
VPC-359387,NULL,1
VPC-363008,Siphoviridae,1
VPC-363243,NULL,1
VPC-363244,NULL,1
VPC-365137,Siphoviridae,1
VPC-366538,Siphoviridae,1
VPC-367871,Siphoviridae,1
VPC-36917,Siphoviridae,41
VPC-373959,Siphoviridae,1
VPC-375097,NULL,1
VPC-375659,Siphoviridae,1
VPC-379071,Siphoviridae,1
VPC-381808,Myoviridae,1
VPC-386774,Siphoviridae,1
VPC-388580,NULL,1
VPC-388871,Siphoviridae,1
VPC-389090,NULL,1
VPC-389091,NULL,1
VPC-389842,Siphoviridae,1
VPC-391811,Siphoviridae,1
VPC-394648,Siphoviridae,1
VPC-397373,NULL,1
VPC-398110,Siphoviridae,1
VPC-3984,Myoviridae,3
VPC-3984,NULL,230
VPC-3984,Siphoviridae,294
VPC-398631,Siphoviridae,1
VPC-399166,Siphoviridae,1
VPC-400686,NULL,1
VPC-401771,Siphoviridae,1
VPC-402440,NULL,1
VPC-405474,Myoviridae,1
VPC-40585,NULL,13
VPC-40585,Siphoviridae,23
VPC-406655,NULL,1
VPC-40863,NULL,12
VPC-40863,Siphoviridae,23
VPC-409906,Siphoviridae,1
VPC-411512,Siphoviridae,1
VPC-413038,NULL,1
VPC-415202,Siphoviridae,1
VPC-415626,NULL,1
VPC-417273,Siphoviridae,1
VPC-417572,Siphoviridae,1
VPC-4196,NULL,444
VPC-4196,Siphoviridae,59
VPC-4196,crAss-phage,3
VPC-420219,NULL,1
VPC-421220,Podoviridae,1
VPC-422245,Siphoviridae,1
VPC-42409,NULL,23
VPC-42409,Siphoviridae,11
VPC-425204,Siphoviridae,1
VPC-42875,Myoviridae,2
VPC-42875,NULL,30
VPC-42875,Siphoviridae,1
VPC-429045,Siphoviridae,1
VPC-429391,Siphoviridae,1
VPC-42965,NULL,7
VPC-42965,Siphoviridae,26
VPC-432882,NULL,1
VPC-433005,NULL,1
VPC-433187,Siphoviridae,1
VPC-434687,Siphoviridae,1
VPC-435521,Siphoviridae,1
VPC-437512,Siphoviridae,1
VPC-439813,NULL,1
VPC-440066,NULL,1
VPC-44077,Siphoviridae,32
VPC-440968,Siphoviridae,1
VPC-440987,Siphoviridae,1
VPC-442572,NULL,1
VPC-443904,Siphoviridae,1
VPC-448956,Siphoviridae,1
VPC-450342,NULL,1
VPC-450343,NULL,1
VPC-450575,Siphoviridae,1
VPC-453510,Siphoviridae,1
VPC-454198,Siphoviridae,1
VPC-45573,Myoviridae,29
VPC-45573,NULL,1
VPC-4560,Siphoviridae,469
VPC-4562,Myoviridae,9
VPC-4562,NULL,420
VPC-4562,Siphoviridae,12
VPC-4562,crAss-phage,28
VPC-456781,NULL,1
VPC-457066,Myoviridae,1
VPC-458516,NULL,1
VPC-4591,NULL,186
VPC-4591,Siphoviridae,280
VPC-46078,Myoviridae,1
VPC-46078,NULL,19
VPC-46078,Siphoviridae,10
VPC-46446,NULL,21
VPC-46446,Siphoviridae,9
VPC-46980,Myoviridae,2
VPC-46980,NULL,18
VPC-46980,Siphoviridae,9
VPC-46996,Siphoviridae,29
VPC-484,Myoviridae,74
VPC-484,NULL,2236
VPC-484,Siphoviridae,8
VPC-484,crAss-phage,47
VPC-502,Myoviridae,1067
VPC-502,NULL,1158
VPC-502,Siphoviridae,108
VPC-50802,Siphoviridae,26
VPC-53357,NULL,9
VPC-53357,Siphoviridae,15
VPC-54020,NULL,17
VPC-54020,Siphoviridae,7
VPC-54514,Myoviridae,1
VPC-54514,NULL,14
VPC-54514,Siphoviridae,8
VPC-55512,Siphoviridae,23
VPC-56125,NULL,8
VPC-56125,Siphoviridae,14
VPC-56153,Siphoviridae,22
VPC-562,Myoviridae,713
VPC-562,NULL,1443
VPC-562,Siphoviridae,56
VPC-56369,Siphoviridae,22
VPC-56617,Siphoviridae,22
VPC-5791,Myoviridae,105
VPC-5791,NULL,272
VPC-5885,Myoviridae,30
VPC-5885,NULL,259
VPC-5885,Siphoviridae,81
VPC-59845,NULL,15
VPC-59845,Siphoviridae,5
VPC-59995,NULL,1
VPC-59995,Siphoviridae,19
VPC-60859,NULL,13
VPC-60859,Siphoviridae,7
VPC-61961,NULL,13
VPC-61961,Siphoviridae,6
VPC-62157,Siphoviridae,19
VPC-62520,NULL,7
VPC-62520,Siphoviridae,12
VPC-62598,NULL,11
VPC-62598,Siphoviridae,8
VPC-62870,NULL,19
VPC-65491,NULL,8
VPC-65491,Siphoviridae,10
VPC-656,Myoviridae,1032
VPC-656,NULL,980
VPC-656,Siphoviridae,9
VPC-66980,NULL,5
VPC-66980,Siphoviridae,12
VPC-67650,Myoviridae,12
VPC-67650,NULL,3
VPC-67650,Siphoviridae,2
VPC-6766,NULL,104
VPC-6766,Siphoviridae,216
VPC-67740,Siphoviridae,17
VPC-68079,Siphoviridae,17
VPC-68452,NULL,1
VPC-68452,Siphoviridae,15
VPC-69,Myoviridae,2
VPC-69,NULL,3
VPC-69,Siphoviridae,4650
VPC-69031,Myoviridae,12
VPC-69031,NULL,4
VPC-69338,NULL,6
VPC-69338,Siphoviridae,10
VPC-69481,NULL,2
VPC-69481,Siphoviridae,14
VPC-69652,Siphoviridae,16
VPC-713,Myoviridae,66
VPC-713,NULL,379
VPC-713,Siphoviridae,1485
VPC-713,crAss-phage,1
VPC-72370,NULL,5
VPC-72370,Siphoviridae,10
VPC-7295,Siphoviridae,297
VPC-7371,NULL,258
VPC-7371,Siphoviridae,36
VPC-74004,NULL,15
VPC-74442,Myoviridae,13
VPC-74442,Siphoviridae,1
VPC-75142,NULL,9
VPC-75142,Siphoviridae,5
VPC-75761,Siphoviridae,14
VPC-7708,NULL,195
VPC-7708,Siphoviridae,78
VPC-7708,crAss-phage,7
VPC-787,NULL,69
VPC-787,Siphoviridae,1752
VPC-8,Myoviridae,27
VPC-8,NULL,3257
VPC-8,Siphoviridae,4450
VPC-8016,Myoviridae,269
VPC-80399,NULL,3
VPC-80399,Siphoviridae,10
VPC-82269,NULL,2
VPC-82269,Siphoviridae,10
VPC-82895,NULL,9
VPC-82895,Siphoviridae,3
VPC-8327,Siphoviridae,258
VPC-8406,Siphoviridae,255
VPC-84459,Siphoviridae,12
VPC-8543,NULL,21
VPC-8543,Siphoviridae,229
VPC-85990,NULL,2
VPC-85990,Siphoviridae,10
VPC-86200,NULL,6
VPC-86200,Siphoviridae,5
VPC-87345,NULL,4
VPC-87345,Siphoviridae,7
VPC-87867,Siphoviridae,11
VPC-87948,NULL,10
VPC-87948,Siphoviridae,1
VPC-88415,Myoviridae,10
VPC-88415,NULL,1
VPC-885,Myoviridae,1388
VPC-885,NULL,268
VPC-885,Siphoviridae,26
VPC-9,Myoviridae,33
VPC-9,NULL,4033
VPC-9,Siphoviridae,3321
VPC-91051,NULL,11
VPC-91621,NULL,7
VPC-91621,Siphoviridae,3
VPC-92011,NULL,1
VPC-92011,Siphoviridae,9
VPC-92756,Siphoviridae,10
VPC-94323,Herelleviridae,10
VPC-94435,Siphoviridae,10
VPC-96918,Myoviridae,3
VPC-96918,NULL,7
VPC-98089,NULL,7
VPC-98089,Siphoviridae,2
VPC-99753,NULL,3
VPC-99753,Siphoviridae,6
